row,converted,hutime
1284-10-21,1284-10-21,1868-02-14
1285--16,1285-12-16,1869-03-29
1285-08-08,1285-08-08,1868-11-23
1286,1286-12-29,1870-03-31
1286-02,1286-02-29,1869-06-09
1286-03-10,1286-03-10,1869-06-19
1286-03-23,1286-03-23,1869-07-02
1287-04-21,1287-04-21,1870-07-20
1288,1288-12-29,1872-03-09
1288--10,1288-12-10,1872-02-19
1288-03-09,1288-03-09,1871-05-28
1289,1289-12-29,1873-02-26
1289--02,1289-12-02,1873-01-30
1289--24,1289-12-24,1873-02-21
1289-02-22,1289-02-22,1872-04-30
1290-11-16,1290-11-16,1874-01-04
1292--20,1292-12-20,1876-01-16
1293-07-04,1293-07-04,1876-07-25
1294--21,1294-12-21,1877-12-26
1294-02-18,1294-02-18,1877-03-03
1297,1297-12-29,1880-12-01
1299-08-21,1299-08-21,1882-07-07
1308,1308-12-29,1891-08-04
1328,1328-12-29,1910-12-31
1334,1334-12-29,1916-10-26
1353-08-02,1353-08-02,1934-11-09
1182-08-30,1182-08-29,1769-01-07
1187-02-30,1187-02-29,1773-05-21
1194-02-30,1194-02-29,1780-03-05
1211-02-30,1211-02-29,1796-09-02
1217-02-30,1217-02-29,1802-06-30
1226-02-30,1226-02-29,1811-03-24
1228-02-30,1228-02-29,1813-03-02
1231-02-30,1231-02-29,1816-01-29
1269-06-30,1269-06-29,1853-04-08
1269-08-30,1269-08-29,1853-06-06
1299-08-30,1299-08-29,1882-07-15
975-03-01,975-03-01,1567-09-04
975-03-10,975-03-10,1567-09-13
