Identifier,rotate
DSCN8945.JPG,0
DSCN8946.JPG,90
DSCN8947.JPG,0
DSCN8948.JPG,0
DSCN8949.JPG,0
DSCN8950.JPG,0
DSCN8951.JPG,90
DSCN8952.JPG,0
DSCN8953.JPG,90
DSCN8954.JPG,0
DSCN8955.JPG,0
DSCN8956.JPG,0
DSCN8957.JPG,90
DSCN8958.JPG,0
DSCN8959.JPG,0
DSCN8960.JPG,0
DSCN8961.JPG,0
DSCN8962.JPG,90
DSCN8963.JPG,0
DSCN8964.JPG,0
DSCN8965.JPG,0
DSCN8966.JPG,0
DSCN8967.JPG,0
DSCN8968.JPG,0
DSCN8969.JPG,0
DSCN0076.JPG,0
DSCN0077.JPG,90
DSCN0078.JPG,270
DSCN0079.JPG,90
DSCN0080.JPG,270
DSCN0081.JPG,90
DSCN0082.JPG,90
DSCN0083.JPG,0
DSCN0084.JPG,90
DSCN0085.JPG,90
DSCN0086.JPG,90
DSCN0087.JPG,0
DSCN0088.JPG,90
DSCN0089.JPG,90
DSCN0090.JPG,90
DSCN0091.JPG,0
DSCN0092.JPG,90
DSCN0093.JPG,90
DSCN0094.JPG,90
DSCN0095.JPG,270
DSCN0096.JPG,90
DSCN0097.JPG,0
DSCN0098.JPG,90
DSCN0099.JPG,0
DSCN0100.JPG,90
DSCN0101.JPG,0
DSCN0102.JPG,90
DSCN0103.JPG,180
DSCN0104.JPG,90
DSCN0105.JPG,90
DSCN0106.JPG,270
DSCN0107.JPG,90
DSCN0108.JPG,0
DSCN0109.JPG,90
DSCN0110.JPG,180
DSCN0111.JPG,90
DSCN0112.JPG,270
DSCN0113.JPG,90
DSCN0114.JPG,270
DSCN0115.JPG,90
DSCN0116.JPG,90
DSCN0117.JPG,90
DSCN0118.JPG,0
DSCN0119.JPG,90
DSCN0120.JPG,90
DSCN0121.JPG,90
DSCN0122.JPG,90
DSCN0123.JPG,0
DSCN0124.JPG,90
DSCN0125.JPG,90
DSCN0126.JPG,0
DSCN0127.JPG,0
DSCN0128.JPG,0
DSCN0129.JPG,90
DSCN0130.JPG,0
DSCN0131.JPG,90
DSCN0132.JPG,270
DSCN0133.JPG,90
DSCN0134.JPG,0
DSCN0135.JPG,0
DSCN0136.JPG,90
DSCN0137.JPG,0
DSCN0138.JPG,90
DSCN0139.JPG,0
DSCN0141.JPG,90
DSCN0142.JPG,0
DSCN0143.JPG,90
DSCN0144.JPG,270
DSCN0145.JPG,90
DSCN0146.JPG,0
DSCN0147.JPG,90
DSCN0148.JPG,0
DSCN0149.JPG,90
DSCN0150.JPG,270
DSCN0151.JPG,90
DSCN0152.JPG,90
DSCN0154.JPG,90
DSCN0155.JPG,90
DSCN0156.JPG,0
DSCN0157.JPG,0
DSCN0158.JPG,90
DSCN0159.JPG,90
DSCN0160.JPG,90
DSCN0161.JPG,0
DSCN0162.JPG,90
DSCN0163.JPG,0
DSCN0164.JPG,90
DSCN0165.JPG,0
DSCN0167.JPG,90
DSCN0168.JPG,90
DSCN0169.JPG,90
DSCN0170.JPG,90
DSCN0171.JPG,0
DSCN0172.JPG,90
DSCN0174.JPG,0
DSCN0175.JPG,90
DSCN0176.JPG,0
DSCN0177.JPG,90
DSCN0178.JPG,0
DSCN0179.JPG,90
DSCN0180.JPG,0
DSCN0181.JPG,90
DSCN0182.JPG,90
DSCN0183.JPG,0
DSCN0184.JPG,90
DSCN0185.JPG,0
DSCN0186.JPG,90
DSCN0187.JPG,0
DSCN0188.JPG,90
DSCN0189.JPG,0
DSCN0190.JPG,90
DSCN0191.JPG,0
DSCN0192.JPG,90
DSCN0193.JPG,0
DSCN0194.JPG,90
DSCN0195.JPG,0
DSCN0196.JPG,90
DSCN0198.JPG,0
DSCN0199.JPG,90
DSCN0200.JPG,0
DSCN0201.JPG,90
DSCN0202.JPG,0
DSCN0203.JPG,90
DSCN0204.JPG,0
DSCN0205.JPG,90
DSCN0206.JPG,0
DSCN0207.JPG,90
DSCN0208.JPG,270
DSCN0209.JPG,90
DSCN0210.JPG,90
DSCN0211.JPG,0
DSCN0212.JPG,90
DSCN0213.JPG,270
DSCN0214.JPG,90
DSCN0215.JPG,0
DSCN0216.JPG,90
DSCN0217.JPG,0
DSCN0218.JPG,90
DSCN0219.JPG,0
DSCN0220.JPG,90
DSCN0221.JPG,0
DSCN0222.JPG,90
DSCN0223.JPG,0
DSCN0224.JPG,90
DSCN0225.JPG,0
DSCN0226.JPG,90
DSCN0227.JPG,0
DSCN0228.JPG,90
DSCN0229.JPG,0
DSCN0230.JPG,90
DSCN0231.JPG,0
DSCN0232.JPG,90
DSCN0233.JPG,90
DSCN0234.JPG,90
DSCN0235.JPG,0
DSCN0236.JPG,90
DSCN0237.JPG,90
DSCN0238.JPG,0
DSCN0239.JPG,90
DSCN0240.JPG,0
DSCN0241.JPG,90
DSCN0242.JPG,270
DSCN0243.JPG,90
DSCN0244.JPG,0
DSCN0245.JPG,90
DSCN0246.JPG,90
DSCN0247.JPG,90
DSCN0248.JPG,0
DSCN0249.JPG,90
DSCN0250.JPG,0
DSCN0251.JPG,90
DSCN0252.JPG,270
DSCN0253.JPG,90
DSCN0254.JPG,270
DSCN0255.JPG,90
DSCN0256.JPG,270
DSCN0257.JPG,90
DSCN0258.JPG,270
DSCN0259.JPG,90
DSCN0260.JPG,90
DSCN0261.JPG,90
DSCN0262.JPG,270
DSCN0263.JPG,90
DSCN0264.JPG,90
DSCN0265.JPG,90
DSCN0266.JPG,270
DSCN0267.JPG,90
DSCN0268.JPG,90
DSCN0269.JPG,90
DSCN0270.JPG,270
DSCN0271.JPG,90
DSCN0272.JPG,180
DSCN0273.JPG,90
DSCN0274.JPG,0
DSCN0275.JPG,90
DSCN0276.JPG,270
DSCN0277.JPG,90
DSCN0278.JPG,270
DSCN0279.JPG,90
DSCN0280.JPG,90
DSCN0281.JPG,270
DSCN0282.JPG,90
DSCN0283.JPG,270
DSCN0284.JPG,90
DSCN0285.JPG,90
DSCN0286.JPG,90
DSCN0287.JPG,0
DSCN0288.JPG,90
DSCN0289.JPG,90
DSCN0290.JPG,90
DSCN0291.JPG,90
DSCN0292.JPG,270
DSCN0293.JPG,90
DSCN0294.JPG,90
DSCN0295.JPG,90
DSCN0296.JPG,90
DSCN0297.JPG,90
DSCN0298.JPG,0
DSCN0299.JPG,0
DSCN0300.JPG,90
DSCN0301.JPG,0
DSCN0302.JPG,90
DSCN0303.JPG,0
DSCN0304.JPG,90
DSCN0305.JPG,0
DSCN0306.JPG,90
DSCN0307.JPG,0
DSCN0308.JPG,90
DSCN0309.JPG,0
DSCN0310.JPG,90
DSCN0311.JPG,0
DSCN0312.JPG,90
DSCN0313.JPG,90
DSCN0314.JPG,90
DSCN0315.JPG,0
DSCN0316.JPG,90
DSCN0317.JPG,0
DSCN0318.JPG,90
DSCN0319.JPG,0
DSCN0320.JPG,90
DSCN0321.JPG,0
DSCN0322.JPG,270
DSCN0323.JPG,270
DSCN0324.JPG,270
DSCN0325.JPG,270
DSCN0326.JPG,0
DSCN0327.JPG,0
DSCN0328.JPG,90
DSCN0329.JPG,270
DSCN0330.JPG,0
DSCN0331.JPG,0
DSCN0332.JPG,0
