docId,typeId
zone_rn4_1hh_skb,summary_Croatian
zone_t2z_pry_y3b,hüccet
zone_pqf_tfy_y3b,serbian
zone_gh1_wfy_y3b,serbian
zone_g44_mt5_l3b,temessük
zone_sg2_rt5_l3b,summary_Serbian
zone_dmf_c25_xjb,EMIN
zone_hy4_j25_xjb,summary_Croatian
zone_iwl_zqt_xjb,mürāsele
zone_uym_dgk_kjb,EMIN
zone_pjz_ggk_kjb,summary_Croatian
zone_x3x_z4s_yjb,tapu_senedi
zone_rdr_hps_yjb,summary_Croatian
zone_pff_zwp_cjb,şukka
zone_vpr_w35_xjb,EMIN
zone_stk_z35_xjb,summary_Croatian
zone_gfq_gwp_cjb,mürāsele
zone_vjj_jwp_cjb,summary_Croatian
zone_fys_cg5_xjb,mürāsele
zone_m4j_3t4_cjb,hüccet
zone_hk2_mt4_cjb,summary_Croatian
zone_ixl_grt_xjb,EMIN
zone_t5x_jrt_xjb,summary_Croatian
zone_c3s_ngk_kjb,mürāsele
zone_zht_qgk_kjb,summary_Croatian
zone_vty_1y5_l3b,zabt_temessük
zone_vcp_cy5_l3b,summary_Serbian
zone_rbd_mfz_k3b,tezkire
zone_gf4_4fz_k3b,summary_Serbian
zone_l3t_13v_2jb,tapu
zone_nxm_5bv_2jb,unknown
zone_ml2_xbv_2jb,unknown
zone_mjb_rkq_h3b,izin_belgesi
zone_w2r_dfp_2kb,ʿilmühaber
zone_nqx_jfp_2kb,summary_Croatian
zone_zjd_2bg_z3b,ʿarz-ı_hāl
zone_ajb_gbg_z3b,buyuruldu
zone_mnn_3bg_z3b,summary_Croatian
zone_cpp_3vg_z3b,hüccet
zone_xwm_lvg_z3b,summary_Croatian
zone_mvl_k23_cjb,ʿarz-ı_hāl
zone_wmd_n23_cjb,buyuruldu
zone_pgr_423_cjb,summary_Croatian
zone_w2g_w13_cjb,hüccet
zone_zbr_bb3_cjb,summary_Croatian
zone_txh_qrl_kkb,hüccet
zone_cb5_5rl_kkb,summary_Croatian
zone_nw4_1dz_djb,mürāsele
zone_m12_4l2_djb,tapu_senedi
zone_qwp_pl2_djb,tuğra
zone_pzm_rl2_djb,note
zone_jtw_sl2_djb,note
zone_tmr_tl2_djb,summary_Croatian
zone_ns5_svd_djb,mürāsele_sūret
zone_bbc_vvd_djb,summary_Croatian
zone_esr_jhv_2jb,fetvā
zone_kws_c5h_j3b,hüccet_note
zone_j2w_j5h_j3b,note
zone_c1s_m5h_j3b,from
zone_frm_n5h_j3b,from
zone_fds_2py_y3b,beyaz_üzerine_buyuruldu
zone_hdk_sj4_cjb,tapu_senedi
zone_wrw_bks_yjb,EMIN
zone_yb1_gks_yjb,summary_Croatian
zone_iq5_bhk_kjb,EMIN
zone_vpp_lgy_y3b,hüccet
zone_mms_tlv_2jb,temessük
zone_npd_mkn_2jb,fermān_sūret
zone_vdw_skn_2jb,summary_Croatian
zone_hhs_jkn_2jb,summary_Croatian
zone_dy3_q12_djb,ʿilmühaber_tapu_senedi_sūret
zone_z42_512_djb,summary_Croatian
zone_gqd_1x3_cjb,tapu_senedi
zone_fxf_bx3_cjb,tuğura
zone_grs_fx3_cjb,unkown
zone_tz1_2x3_cjb,summary_Croatian
zone_fn1_cqh_cjb,ʿarz-ı_hāl
zone_bk3_2qh_cjb,buyuruldu
zone_lx1_mqh_cjb,summary_Serbian
zone_czc_333_cjb,iʿlām
zone_vl5_k33_cjb,buyuruldu
zone_ovm_n33_cjb,summary_Croatian
zone_akg_1zg_j3b,tahvīl
zone_hvg_4tg_z3b,beyāz_üzerine_buyuruldu
zone_vhq_qtg_z3b,summary_Croatian
zone_bmx_lqg_z3b,unknown
zone_ahk_pqg_z3b,unknown
zone_wgc_whh_skb,EMIN
zone_prc_jxd_djb,unknown
zone_k4p_mxd_djb,summary_Croatian
zone_sgy_1q1_2jb,fermān
zone_sq1_kp1_2jb,tuğra
zone_hlb_gq1_2jb,summary_Croatian
zone_y2m_54v_2jb,unknown
zone_emk_1pv_2jb,summary_Croatian
zone_nhk_kmv_2jb,beyāz_üzerine_buyuruldu
zone_ytn_4mv_2jb,summary_Croatian
zone_jtz_rmv_2jb,translation_Croatian
zone_cwr_pgv_2jb,tezkire_ruhsatiye_esnaf
zone_n3c_32z_k3b,note
zone_sbx_k2z_k3b,note
zone_srj_xmz_k3b,EMIN_zabt_
zone_fdr_zmz_k3b,summary_Croatian
zone_gtr_hp5_l3b,şukka
zone_g2l_jp5_l3b,unknown
zone_mjl_kp5_l3b,summary_Croatian
zone_umg_3pt_xjb,EMIN
zone_fdk_mpt_xjb,unknown
zone_r3b_rqt_xjb,EMIN
zone_pq1_5qt_xjb,summary_Croatian
zone_hbc_g54_cjb,ʿilmühaber
zone_zdw_tv4_cjb,ʿilmühaber
zone_db2_vv4_cjb,ʿilmühaber
zone_x3v_wv4_cjb,ʿilmühaber
zone_zpn_zv4_cjb,ʿilmühaber
zone_fqj_bw4_cjb,ʿilmühaber
zone_czw_cw4_cjb,ʿilmühaber
zone_dgb_fw4_cjb,ʿilmühaber
zone_ezq_hw4_cjb,ʿilmühaber
zone_ubz_jw4_cjb,ʿilmühaber
zone_vz3_lw4_cjb,ʿilmühaber
zone_cwy_mw4_cjb,ʿilmühaber
zone_mmy_4w4_cjb,ʿedā_senedi
zone_hqd_435_xjb,EMIN
zone_tk1_r35_xjb,summary_Croatian
zone_ox3_vsp_cjb,hüccet
zone_usb_1tp_cjb,summary_Croatian
zone_ers_ds4_cjb,mürāsele
zone_urn_js4_cjb,buyuruldu
zone_kg2_ls4_cjb,summary_Croatian
zone_p5j_hf5_xjb,EMIN
zone_tk3_lf5_xjb,summary_Croatian
zone_fgk_wg5_xjb,EMIN
zone_zcq_5gk_kjb,EMIN_tezkire
zone_zqv_gqt_xjb,EMIN
zone_rs5_kqt_xjb,summary_Croatian
zone_g2z_vjz_k3b,mektūb
zone_jld_yjz_k3b,unknown
zone_old_sdm_l3b,EMIN_tahvīl
zone_ys4_tdm_l3b,summary_Croatian
zone_ngn_crv_2jb,unknown
zone_phv_frv_2jb,summary_Croatian
zone_klr_xk3_x3b,iʿlām
zone_sz3_1l3_x3b,buyuruldu
zone_xmj_vk3_x3b,buyuruldu
zone_n5h_2l3_x3b,summary_Serbian
zone_c4b_2h3_cjb,iʿlām
zone_wtw_hh3_cjb,buyuruldu
zone_vty_4rg_z3b,iʿlām
zone_nvz_yfh_cjb,mukāvele_senedi
zone_dqz_ncp_2kb,EMIN
zone_jwz_pcp_2kb,summary_Croatian
zone_ngv_25g_z3b,unknown
zone_off_kg3_cjb,şukka
zone_bvv_wk2_djb,tapu_senedi_sūret
zone_b3s_xk2_djb,tuğra_sūret
zone_oxq_zk2_djb,summary_Croatian
zone_bq2_f4y_y3b,kā'ime
zone_kxy_g4y_y3b,kā'ime
zone_mwj_bjy_y3b,hüccet
zone_kz4_zms_yjb,hüccet
zone_umy_fdj_cjb,şükka
zone_ojb_s44_cjb,tapu_senedi
zone_c4h_bp4_cjb,unknown
zone_w1d_cp4_cjb,summary_Croatian
zone_q3w_xst_xjb,EMIN
zone_lmk_btt_xjb,summary_Croatian
zone_bw2_yh5_xjb,EMIN
zone_fgx_135_xjb,summary_Croatian
zone_glw_zpt_xjb,EMIN
zone_byj_cqt_xjb,summary_Croatian
zone_lm4_cs5_2jb,EMIN_zabt_tezkire
zone_lf3_fs5_2jb,summary_Croatian
zone_e4w_hbz_k3b,EMIN
zone_uth_lbz_k3b,summary_Serbian
zone_zjz_1fv_2jb,EMIN
zone_qbj_dfv_2jb,summary_Croatian
zone_b15_sc3_x3b,hüccet
zone_cwx_5k1_2jb,fermān
zone_hdh_wk1_2jb,tuğra
zone_cfy_yk1_2jb,summary_Croatian
zone_c2b_pv3_cjb,tapu_senedi
zone_lc3_qv3_cjb,tuğura
zone_m3b_vv3_cjb,memo
zone_f4w_sv3_cjb,summary_Croatian
zone_i4t_vv3_cjb,summary_Croatian
zone_mz2_z4l_kkb,hüccet
zone_ojq_2pl_kkb,summary_Crotatian
zone_wyx_ygh_cjb,tapu_senedi_sūret
zone_n4q_jhh_cjb,summary_Croatian
zone_pgr_t1n_2kb,EMIN
zone_sr4_x1n_2kb,summary_Croatian
zone_bkw_jz4_2kb,EMIN
zone_vtl_pz4_2kb,summary_Croatian
zone_ztb_ny3_cjb,cizye_tezkiresi
zone_skp_ty3_cjb,summary_Croatian
zone_h2t_1r2_djb,hüccet
zone_zdn_fr2_djb,summary_Croatian
zone_cwx_rt1_2jb,fermān_sūret
zone_phx_yt1_2jb,summary_Croatian
zone_vft_n55_2jb,tezkire
zone_g4z_q55_2jb,summary_Croatian
zone_pch_pst_xjb,unknown
zone_dqx_3t5_xjb,EMIN
zone_pzw_rt5_xjb,summary_Croatian
zone_vsy_2ly_y3b,kassām_deftrei
zone_f1h_mly_y3b,kassām_deftrei
zone_ixf_m5y_y3b,unknown
zone_l2r_3yh_j3b,unknown
zone_x2h_4t5_2jb,zabt_temessük
zone_wx1_rt5_2jb,summary_Croatian
zone_g1s_mbh_j3b,unknown
zone_nxl_t34_c3b,EMIN
zone_pwq_xj3_x3b,summary_Serbian
zone_zx1_4q2_djb,fetvā
zone_tq5_pq2_djb,summary_Croatian
zone_j4q_pmw_j3b,EMIN_zabt_temessük
zone_nkv_lzd_djb,tapu_senedi_sūret
zone_wl5_mzd_djb,tuğra_sūret
zone_lky_4zd_djb,summary_Croatian
zone_fj4_5cn_2kb,EMIN
zone_kw5_cdn_2kb,summery_Croatian
zone_zdg_fbp_2kb,EMIN
zone_o4c_qbp_2kb,summary_Croatian
zone_ld5_1fh_cjb,iʿlām
zone_vxk_cfh_cjb,summary_Croatian
zone_hfc_13h_cjb,hüccet
zone_xyw_d3h_cjb,unkown
zone_zfd_f3h_cjb,summary_Croatian
zone_gy3_j33_1jb,mürāsele
zone_eml_jsg_z3b,kassām_defteri
zone_zzp_yyd_djb,tapu_senedi
zone_w5f_1zd_djb,tuğra
zone_dqk_wp2_djb,tezkire-i_dīvānī
zone_tbs_kj1_2jb,fermān_sūret
zone_kgr_4j1_2jb,summary_Croatian
zone_w5s_znv_2jb,tapu_senedi_sūret
zone_j1n_d4v_2jb,summary_Croatian
zone_xlp_h2v_2jb,temessük
zone_krf_k2v_2jb,summary_Croatian
zone_x5j_dj5_xjb,EMIN
zone_ljv_s25_xjb,EMIN
zone_iqz_v25_xjb,summary_Croatian
zone_srk_t1j_cjb,hüccet
zone_whw_y1j_cjb,buyuruldu
zone_ugb_cbj_cjb,summary_Croatian
zone_s1q_tn4_cjb,hüccet
zone_a4p_1l4_cjb,tapu_senedi
zone_e4d_g2j_cjb,ʿarz-ı_hāl
zone_ekd_k2j_cjb,summary_Croatian
zone_knk_1f5_xjb,EMIN
zone_dyd_df5_xjb,summary_Croatian
zone_vlw_f35_xjb,mürāsele
zone_fgg_335_xjb,summary_Croatian
zone_xtr_c1z_y3b,takvīm-i_vekāyi
zone_rrm_gwy_y3b,iʿlām
zone_ddh_3wy_y3b,summary_Croatian
zone_lh1_cty_y3b,kassām_defteri
zone_ogh_2w5_2jb,temessük
zone_mrg_3w5_2jb,summary_Croatian
zone_mw5_pcv_2jb,unknown
zone_ydd_5cv_2jb,note
zone_jhd_vcv_2jb,note_Croatian
zone_rsh_2k3_cjb,kâğıt
zone_irc_hk3_cjb,summary_Croatian
zone_qm3_d31_2jb,fermān
zone_pry_231_2jb,tuğra
zone_swm_h31_2jb,summary_Croatian
zone_m2n_f2h_cjb,iʿlām
zone_zy1_rnh_cjb,mürāsele
zone_pv1_tnh_cjb,buyuruldu
zone_rjg_wnh_cjb,summary_Croatian
zone_cns_wx4_2kb,EMIN
zone_ggq_cy4_2kb,summary_Croatian
zone_w42_dxg_z3b,unkonown_Croatian
zone_fhc_fxg_z3b,summary_Ottoman
zone_z1x_rxn_2kb,mürāsele
zone_wgh_wxn_2kb,summary_Croatian
zone_gr1_gmh_cjb,hüccet
zone_pvr_cs2_djb,emr_nāme_ṣūret
zone_pln_2s2_djb,unknown
zone_t3m_hs2_djb,summary_Craotian
zone_ijp_m42_djb,iʿlām
zone_v5p_q42_djb,buyuruldu
zone_gb1_s42_djb,iʿlām
zone_azy_lv5_2jb,zabt_tezkire
zone_mxh_nz1_x3b,hüccet
zone_enx_rz1_x3b,buyuruldu
zone_qkj_5z1_x3b,summary_Serbian
zone_a2v_s4w_2jb,EMIN
zone_udc_v4w_2jb,summary_Croatian
zone_xdt_5ty_y3b,EMIN_mektūb
zone_t13_wty_y3b,summary_Serbian
zone_jpb_sl4_cjb,hüccet
zone_bbp_vl4_cjb,summary_Croatian
zone_up3_c1q_cjb,hüccet
zone_o1g_f1q_cjb,summary_Crotatian
zone_vcb_z2j_cjb,EMIN
zone_gvz_ffj_cjb,summary_Croatian
zone_ssd_xm4_cjb,hüccet
zone_mln_425_xjb,mürāsele
zone_acy_fxy_y3b,ʿarz-ı_hāl
zone_dwd_zz3_cjb,unknown
zone_ehg_d1j_cjb,summary_Croatian
zone_ln2_v3n_2jb,fermān_sūret
zone_ps5_1jn_2jb,summary_Croatian
zone_ej1_h1z_djb,hüccet
zone_klz_k1z_djb,summary_Croatian
zone_yns_rv4_2kb,EMIN
zone_x4x_gw4_2kb,summary_Croatian
zone_ahr_cc3_cjb,iʿlām
zone_pwz_2c3_cjb,buyuruldu
zone_pnr_gc3_cjb,summary_Croatian
zone_npj_wwn_2kb,EMIN
zone_gkg_zwn_2kb,summary_Croatian
zone_ckb_h3f_bjb,hüccet
zone_qxv_j3f_bjb,summary_Serbian
zone_irt_3lh_cjb,hüccet
zone_aj2_yt3_cjb,hüccet_sūret
zone_llj_g53_cjb,summary_Crotatian
zone_f2h_s1v_2jb,EMIN_temessük
zone_afl_v1v_2jb,summary_Croatian
zone_zkz_l2h_j3b,defter
zone_b1b_tdv_2jb,tezkire
zone_jyq_wdv_2jb,unknown
zone_blg_qcb_x3b,iʿlām
zone_x1c_wcb_x3b,sumamry_Croatian
zone_pkn_tbv_l3b,mürāsele
zone_hvm_rbv_l3b,summary_Cratian
zone_ahd_kg5_xjb,mektūb
zone_lsl_2h5_xjb,EMIN
zone_bzz_mh5_xjb,summry_Croatian
zone_t5h_bst_xjb,mürāsele
zone_sfm_vdw_cjb,hüccet
zone_o3q_c3q_cjb,hüccet
zone_ccz_pbk_kjb,EMIN
zone_z3p_vbk_kjb,summary_Croatian
zone_rd5_4sw_j3b,tezkire
zone_ebz_qgk_1jb,EMIN
zone_sd3_tgk_1jb,summary_Croatian
zone_ez5_jpz_y3b,hüccet
zone_amc_spz_y3b,summary_Croatian
zone_dhk_g1k_1jb,hüccet
zone_tkx_l1k_1jb,summary_Croatian
zone_ymg_vwf_z3b,ʿarz-ı_hāl
zone_k5q_wwf_z3b,buyuruldu
zone_dyq_zwf_z3b,summary_Serbian
zone_cxj_v4d_fjb,zabt_nāme
zone_lnj_y4d_fjb,summary_Croatian
zone_cnn_hzz_djb,berāt
zone_p3b_kzz_djb,tuğra
zone_gyq_qhx_cjb,EMIN
zone_fy1_thx_cjb,summary_Croatian
zone_gbb_dhz_djb,beyāz_üzerine_buyuruldu
zone_tp2_ghz_djb,summary_Croatian
zone_xqd_hhz_djb,summary_Croatian
zone_gs2_bwg_skb,hüccet_sūret
zone_bz1_jwg_skb,summary_Croatian
zone_n4l_2j3_qkb,summary_Croatian
zone_u3y_3rr_kkb,zabtnāme_sūret
zone_ymh_4rr_kkb,summary_Croatian
zone_ezj_rj3_qkb,edā_tahvīl
zone_lqc_1l3_qkb,summery_Croatian
zone_usv_nhf_pkb,hüccet_sūret
zone_cjy_shf_pkb,summary_Croatian
zone_e53_pbx_cjb,hüccet
zone_zdk_5bx_cjb,summary_Croatian
zone_jft_h5z_djb,tezkire_dīvānī
zone_ink_n5z_djb,summary_Croatian
zone_dkp_ygx_cjb,fetvā
zone_o33_qsw_2jb,tapu_tezkire
zone_gcm_5sw_2jb,summary_Croatian
zone_zrj_bnm_3jb,EMIN_zabt_temessük
